Vintage,Wine,Score,Reviewer/Publication,Reviewed by,Honorable Mentions,Review
2022,"""Earl Stephens Vineyard"" RRV Pinot Noir",93,James Suckling,,,"Well-crafted, succulent and refined, with notes of wild strawberries, crushed raspberries, dried herbs, forest floor and some mild spices. It’s medium-bodied with finely grained tannins and vivid acidity. Vibrant and focused with harmony and poise. Seductive finish. Drink or hold."
2022,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,Wine Enthusiast,Tom Capo,,"Aromas of deep and rich raspberry jam swirl on the nose of this Russian River Pinot. The softly textured palate displays a balance between bright cherry-berry fruit and dark, savory cinnamon spice before a finish that dances between grippy tannins and lively acidity."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",97,The Tasting Panel,,,"Cherries dipped in maple syrup are creamy and dense, followed by milk chocolate cedar. A hint of toast, mint, and white pepper are unique and unfold gracefully thanks to supple tannins and a balanced acid structure."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Jeb Dunnuck,Audrey Frick,,"Moving to the Sonoma Coast, the 2022 Pinot Noir Terra de Promissio Vineyard pours a youthful ruby/magenta color and is fruity and expressive on the nose with aromas of candied flowers, mixed berries, a light touch of blue fruit, and sweet sage. It offers fantastic energy on the palate, with bright, ripe acidity, saline, and balanced ripeness as well as ripe tannins, clean lift, and lasting notes of incense. My favorite in the range, this is a very nicely styled wine to enjoy over the next 15 years."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wilfred Wong,,,"The 2022 Domaine Della ""Terra de Promissio"" Vineyard Pinot Noir is beautifully complex. This wine shines with aromas and flavors of fragrant spices, dried spices, and mineral notes. Enjoy this wine with braised lamb shanks."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,James Suckling,,,"A medium-bodied pinot noir with aromas of crushed raspberries, sliced strawberries, grilled herbs and baking spices. Well composed, with fine tannins and a velvety texture throughout. Elegant with a dense core of delicious berries and a refreshing, bright finish. Drink or hold."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,Wine Enthusiast,Tom Capo,,"Aromas of sour cherry, mint and fresh-cut flowers dominate the nose of this wine. The juicy, acid-driven palate displays cherry-berry compote, caramel, tangy lemon-orange zest and finally white flowers before the long finish fades."
2022,"""Terra de Promissio Vineyard"" SC Pinot Noir",91,Wine Spectator,James Molesworth,,"Friendly and inviting, with a big burst of raspberry and boysenberry coulis flavors that stretch out nicely alongside notes of black tea, singed wood spice and briar. Shows nice length and definition. Drink now through 2029. 300 cases made."
2022,"""Soberanes Vineyard"" SLH Pinot Noir",95,Wine Enthusiast,Matt Kettman,,"There's a brilliant combination of fresh, juicy raspberry and a struck-stone minerality on the nose of this bottling. The palate surrounds a core of juicy strawberry and pomegranate fruit, with ample layers of peppery, thyme and acidity driving it home."
2022,"""Soberanes Vineyard"" SLH Pinot Noir",94,Wilfred Wong,,,"The 2022 Domaine Della Soberanes Vineyard Pinot Noir is an outstanding wine. This wine excels in aromas and flavors of sandalwood, dried earth, and boysenberries. Serve it with a well-seasoned roast leg of lamb."
2022,"""Soberanes Vineyard"" SLH Pinot Noir",93,James Suckling,,,"A delicious, succulent and silky pinot with notes of sour cherries, wild strawberries, cranberries and warm spices. Medium-bodied with bright acidity and character. Lively and aerial, with good tension and a crunchy finish that shows wild berries and a lift of spices. Drink or hold"
2022,"""4 Amours"" Special Blend SC Pinot Noir",97,The Tasting Panel,,Publisher's Picks,"Opens with boysenberry and Mediterranean scrub aromas. Savory and spicy, while bright acidity lights it up from within. Clove, red tea, rosemary, Morello cherries, and red beets converge in a maelstrom of flavors. Finishes with a wash of cinnamon toast and wild strawberries. "
2022,"""4 Amours"" Special Blend SC Pinot Noir",94,Jeb Dunnuck,Audrey Frick,,"A deeper shade of magenta, the 2022 Pinot Noir 4 Amours is more introspective and concentrated on opening and slowly starts to reveal itself in the glass with notes of black raspberries, licorice candies, pine, and forest herbs. The palate offers a lovely feel, with even, ripe tannins, harmonious freshness, and a seamless feel with a very ripe finish. It has a lot of charm and is very well done. Drink 2025-2035."
2022,"""4 Amours"" Special Blend SC Pinot Noir",93,Wilfred Wong,,,"The 2022 Domaine Della 4 Amours Pinot Noir is fully flavored and long-lasting on the palate. This wine exhibits aromas and flavors of smoky, black fruits, and toasty notes. Enjoy it with a thick slice of prime rib. "
2022,"""4 Amours"" Special Blend SC Pinot Noir",93,James Suckling,,,"Velvety, textural and crunchy with aromas of strawberries, red currants, cherries and dried herbs on the nose, followed by a medium body with fresh acidity. Good weight and balance on the palate with bright fruit kicking in toward the refreshing finish. Drink or hold."
2022,"""4 Amours"" Special Blend SC Pinot Noir",93,Wine Enthusiast,Tom Capo,,"*CELLAR SELECTION* Aromas of dusty cherries, fresh-cut flowers, cola and orange peel waft from the glass of this middle-bodied Pinot. The palate holds spicy raspberry compote, cedar and a wealth of drying tannin through the finish. This age-worthy wine will certainly evolve for a decade or more."
2022,Rose of Pinot Noir RRV,90,Jeb Dunnuck,Audrey Frick,,"A bright medium pink color, the 22023 Rose of Pinot Noir is juicy on the nose, with notes of cantaloupe, candied orange, and strawberries. Medium-bodied, it’s straightforward and clean on the palate. It’s going to show its best over the near term."
2022,Rose of Pinot Noir RRV,90,Wine Enthusiast,Tom Capo,,"A deep salmon-pink in the glass, this rosé offers a nose dominated by floral aromas and a whisper of zippy tangerine. The parade of flowers continues on the palate, along with some cantaloupe and white-cherry flavors."
2021,Sonoma Coast Chardonnay,97,The New Wine Review,,,"This white opens in a rich, beautiful nose of creme brûlée, honeycomb and a light lift of pear, delving into a crisp core of complexity and structure midway through. Layered and well-balanced in oak, fruit and acidity, it is a gorgeous expression of the coast."
2021,Sonoma Coast Chardonnay,92,Wine Enthusiast,Jim Gordon,,"Toasted oak and almond aromas lead to more toast, nuts and butter on the palate, which is not at all a bad thing for those who like a traditional California Chardonnay. A full body, rich texture and solid base of Bosc pear fruit are easy to enjoy."
2021,Sonoma Coast Chardonnay,92,Wilfred Wong,,,"The 2021 Domaine Della Sonoma Coast Chardonnay is lively and satisfying on the palate. This wine offers aromas and flavors of delicious golden apples, hints of stone fruits, and mineral notes. Enjoy it with pan-fried, panko-coated Petrale sole."
2021,Sonoma Coast Chardonnay,92,James Suckling,,,"Nectarines, mangoes, orange curd, honeysuckle and salted caramel on the nose. Excellent concentration, with a full body and creamy, compact layers. I like the salty undertones. Drink now."
2021,Sonoma Coast Chardonnay,90,Wine Spectator,,,"Shows great intensity, with pineapple, guava and peach flavors at the core, plus hints of lemon zest, candied ginger and vibrant acidity on a dense frame. Drink now. 150 cases made."
2021,Russian River Valley Pinot Noir,96,The New Wine Review,,,"Brimming in strawberry, cola and a lightness of baking spice, this is a creamy and lush expression of the appellation, with complex layers of bright acidity. The lift and balance is accented in savory hints of black tea and clove."
2021,Russian River Valley Pinot Noir,93,Wilfred Wong,,,"The 2021 Domaine Della Russian River Valley Pinot Noir is well-built and firm on the palate. This wine shows aromas and flavors of strawberries and blackberries with spice, oaky notes, and a hint of tannins. Try it with grilled lamb kebabs."
2021,Russian River Valley Pinot Noir,93,Wine Enthusiast,Jim Gordon,,"Fragrant in aroma and soft on the first sip, this charming wine firms up a bit on the palate, wrapping mild tannins and appetizing acidity around strawberries, red and black plums and hints of oak spice. It's well balanced and has a pure fruit expression."
2021,Russian River Valley Pinot Noir,92,Wine Spectator,James Molesworth,,"Offers nice range, with racy damson plum and blood orange flavors joined by plumper mulberry and black cherry notes, all wrapped in a light potpourri and rose petal frame. Delivers a light apple wood accent that adds more energy to the juicy finish. Delicious. Drink now through 2031. 400 cases made."
2021,Russian River Valley Pinot Noir,92,James Suckling,,,"Lots of crunchy cherries, bramble berries, sweet spices and hints of bark. Medium body with sleek tannins and fresh acidity. Juicy fruit with silky texture and a fruity, joyful finish. Drink now."
2021,Sonoma Coast Pinot Noir,95,The New Wine Review,,,"With a tart, tangy entry of crisp red and blue fruit, the wine is pillowy on the palate, with sublime texture and a lift of acidity. Lengthy, bright and lightly spiced, it offers a complete picture of this great coastal appellation."
2021,Sonoma Coast Pinot Noir,93,Wine Enthusiast,Jim Gordon,,"One of the bigger, softer offerings from Domaine Della, this rich and full-bodied wine brings plum jam and strawberries to the nose and candied cherries to the palate. Its good viscosity and depth help build flavors in the mouth and let them linger on the finish."
2021,Sonoma Coast Pinot Noir,93,Wilfred Wong,,,"The 2021 Domaine Della Sonoma Coast Pinot Noir is bright, attractive, and well-balanced. This wine excels with aromas and flavors of boysenberries, spicy notes, and hints of oak. Enjoy it with grilled lamb chops. "
2021,96,91,Wine Spectator,,,"A polished, flattering style, with a core of raspberry and cherry puree flavors that sail through easily, with light red licorice, vanilla and sandalwood notes chiming in on the finish. A crowd-pleaser. Drink now through 2025. 400 cases made.  –JM"
2021,Sonoma Coast Pinot Noir,91,James Suckling,,,"Dark raspberries, cocoa, dried herbs and burnt oranges on the nose. Spicy and compact, with a medium to full body and subtly toasty layers. Fine and focused tannins. Drink now."
2021,Sonoma Coast Pinot Noir,90,Wine & Spirits,,,"Red fruit lasts through this wine’s potent oak char. Alex Mares of Eleven Madison Park described the fruit as “perfectly ripe, subtle with a sense of flowers and leaves.” The generosity of that fruit may well outlive the oak and its spice. For the cellar. (400 cases) —J.G."
2021,Santa Lucia Highlands Pinot Noir,95,The New Wine Review,,,"Layered, gritty and grippy, this wine is defined by a savory earthiness that persists over ongoing acidity. Rose petal, rhubarb and baking spice accent an intensely built, well-structured and highly age-worthy expression of the variety from this appellation."
2021,Santa Lucia Highlands Pinot Noir,92,Wine Spectator,,,"Alluring, with iris, blood orange and damson plum aromas and flavors that glide through. Shows nice cut on the lengthy finish, where an echo of hot stone lingers. Drink now through 2028. 150 cases made.  –JM"
2021,Santa Lucia Highlands Pinot Noir,92,Wine Enthusiast,,,"Deep and dark black cherry, caramel candy and gingerbread aromas make for a lush and intense nose on this single-vineyard expression, but it manages to also stay bright and zesty. The palate offers a similar range of flavors, from black-cherry compote to ginger snap cookies, proving quite satisfying. — Matt Kettmann"
2021,Santa Lucia Highlands Pinot Noir,92,Wilfred Wong,,,"The 2021 Domaine Della is expressive with its purity and rustic style. This wine exhibits aromas and flavors of dried earth, spicy notes, and ripe berries. Enjoy it with pan-fried garlic and rosemary-infused lamb chops."
2021,Santa Lucia Highlands Pinot Noir,92,James Suckling,,,"A medium-bodied red with sour cherries, redcurrants, forest berries and mild spices on the nose. Round and silky with a bright core of fruit and a succulent finish. Drink now."
2021,"""Ritchie Vineyard"" RRV Chardonnay",97,The New Wine Review,,,"This wine hits every note, impressing in its cohesive grasp of balance and savory complexion. Baking spice and butter express themselves on the nose as a breadth of stone fruit, baked apple and pear present midpalate. Length, breadth and enduring freshness give it an undeniable imprint of excellence."
2021,"""Ritchie Vineyard"" RRV Chardonnay",94,Wilfred Wong,,,"The 2021 Domaine Della Ritchie Vineyard Chardonnay is alluring and demonstrative on the palate. This wine delivers aromas and flavors of sandalwood, earthy notes, ripe apples, and oak. Try it with baked halibut in a savory cream sauce. "
2021,"""Ritchie Vineyard"" RRV Chardonnay",94,James Suckling,,,"Peaches, baked apples, hazelnuts, custard and some vanilla on the nose. It’s medium- to full-bodied, with deliciously toasty and flinty undertones to the fresh stone fruit. Vibrant acidity throughout, ending with a laser-focused and flavorful finish. Drink now or hold.																"
2021,"""Ritchie Vineyard"" RRV Chardonnay",93,Wine Enthusiast,,,"Relaxed and luxurious, this velvety smooth and super-concentrated wine tastes ultraripe, packed with pastry shop flavors on a luscious texture. We're thinking of a like-to-like pairing, as in sauteed scallops or sole in a beurre blanc. Best through 2028. — Jim Gordon																"
2021,"""Ritchie Vineyard"" RRV Chardonnay",92,Wine Spectator,,,"This has terrific focus, with an appealingly plump, creamy texture to the lemon curd, tangy makrut lime, green apple and green papaya flavors. Shows details of orange zest, candied ginger and lemon verbena that linger effortlessly on the finish. Drink now through 2028. 150 cases made."
2021,"""Graham Family Vineyard"" RRV Pinot Noir",97,The New Wine Review,,,"Voluptuously full-bodied and generous in supple tannin, this wine is tart in crunchy red fruit, a mix of rhubarb and pomegranate. Plenty of depth and breadth abound, making for a plush, pleasing experience that impresses from beginning to end."
2021,"""Graham Family Vineyard"" RRV Pinot Noir",95,Wine Enthusiast,,,"Dazzling black-cherry aromas and delicious dark plum flavors dance all the way through the finale of this wonderfully choreographed wine. The vividness of the black fruits, the light tanginess of the texture and the length of the finish demand drinking with contemplation. — Jim Gordon"
2021,"""Graham Family Vineyard"" RRV Pinot Noir",94,Wine & Spirits,,,"Brisk and brilliant when first poured and right into the next day, this is a wine with energy and concentrated grace. It’s grown by Howard Graham, who planted his Green Valley vineyard on a south-facing slope two decades ago. This is the most compelling wine we’ve tasted yet from David Hejl at Domaine Della. There’s oak influence—in the manner of a grand cru Burgundy, it is present as a structural influence—then the rub of red fruit enters. Corkbuzz’s Amber Rill was one of several panelists who called out the rosewater scents, contributing to the wine’s lasting beauty. The elegant feel of this wine is what stays with me. (200 cases) —J.G"
2021,"""Graham Family Vineyard"" RRV Pinot Noir",94,Wilfred Wong,,,"The 2021 Domaine Della Graham Family Vineyard Pinot Noir is rich and impactful on the palate. This wine shines with aromas and flavors of savory spices, dried earth, black fruits, attractive dusty notes, and complementary oakiness. Enjoy it with stir-fried skirt steak topped with minced shallots. "
2021,"""Graham Family Vineyard"" RRV Pinot Noir",92,Wine Spectator,,,"A ripe, flattering style, this is already at its peak, with a core of gently mulled red and black cherry and boysenberry fruit flavors laced with red tea and wood spices. The focused finish lets the fruit shine, with a late echo of sous-bois. Drink now through 2026. 200 cases made.  –JM"
2021,"""Graham Family Vineyard"" RRV Pinot Noir",91,James Suckling,,,"Aromas of cherries, forest berries, raspberries, dried leaves and baking spices. It’s medium-bodied with mellow tannins and fresh acidity. Plenty of raspberry character on the palate with a fruity finish. Drink now."
2021,"""Earl Stephens Vineyard"" RRV Pinot Noir",95,Wilfred Wong,,,"The 2021 Domaine Della Earl Stephens Vineyard Pinot Noir shows power, strength, and length on the palate. This wine brings it to the fore with aromas and flavors of sandalwood, spice, oak, and black fruits. Pair it with oven-baked lamb shanks."
2021,"""Earl Stephens Vineyard"" RRV Pinot Noir",95,Wine Enthusiast,Jim Gordon,EDITORS CHOICE,"Whiffs of pine needles and mint leaves top this full-bodied and moderately tannic wine, as good fruit acidity and snappy red and black cherry flavors make the mouth water. Aged in 55% new French oak, nicely structured and well balanced, it could pair beautifully with a roast duck breast. — Jim Gordon"
2021,"""Earl Stephens Vineyard"" RRV Pinot Noir",94,James Suckling,,,"This has aromas of licorice, spice box, dried flowers and red berry fruit. Touch of bergamot and early grey tea. Sensual and beautifully spiced, with a medium to full body, tight tannins, and toasty spice notes coming through on the long finish. Drink or hold."
2021,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,Wine Spectator,,,"A ripe, flashy style, with singed apple wood, black tea and cinnamon notes infusing a core of succulent black cherry and blackberry fruit flavors. Polished, streamlined finish. For the hedonist crowd. Drink now through 2029. 200 cases made.  –JM"
2021,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,The New Wine Review,,,"Dark and brooding in style, this red offers sublime layers of black tea, clove and forest. The savory characteristics are met and complemented by rich flecks of cola, dark cherry and caramel, finishing in a soft, supple and plush mix of tannin and oak."
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",95,The New Wine Review,,,"Aromatic in forest floor, turned earth and stem, this is a rich, full-bodied and softly layered vineyard-designate that is concentrated in dark, brooding notes of berry and plum. Inviting elements of dark chocolate and graham cracker play at the edges before a bright finish emphasizes the wine’s overall balance."
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Wine Enthusiast,,,"Seductive, rich fruit flavors are front and center in this pure-tasting, well-balanced wine as it delivers black and red cherries, a touch of sour cherries, tangerine and orange-pekoe tea. Excellent depth and a smooth, lightly tannic texture add to its tempting expression. — Jim Gordon"
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Wilfred Wong,,,"The 2021 Domaine Della Terra de Promissio Pinot Noir is attractive and multifaceted. This wine excels with aromas and flavors of ripe berries, spices, and wood, with a brightness of tart cherries in the end. Pair it with a savory lamb stew."
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wine & Spirits,,,"This vineyard, near the town of Petaluma, covers two hillsides with 50 acres of vines facing southwest into the wind gap. The grape skins that ripened in that wind give the wine’s blue fruit a darker tension, what Amber Rill, of NYC’s Corkbuzz Wine Studio, described as “a pretty grip to the tannins.” Fully ripe, the wine delivers fruit sweetness in the service of savor, long, cool and youthfully tight. (200 cases) —J.G."
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wine Spectator,,,"Punchy and forward, featuring a burst of pomegranate and cherry fruit liberally laced with dried anise and red tea notes. A touch of licorice adds a flattering edge to the juicy finish, but this is more Russian River in profile than Sonoma Coast. Drink now through 2032. 200 cases made.  –JM"
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,James Suckling,,,"Cherries, strawberries, cassis and sweet spice aromas. It’s medium-bodied with creamy tannins. Ripe and generous with a juicy core of berries and red fruits coating the palate towards the flavorful finish. Drink now.																"
2021,"""Soberanes Vineyard"" SLH Pinot Noir",98,The New Wine Review,,,"This delicious wine is rich, spiced and fruity in dark cherry, with shocks of cardamom and clove that make it instantly interesting. Lengthy and generous, it has a tremendous midpalate, showing great intensity, with an equal amount of length on the finish."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",94,Wilfred Wong,,,"The 2021 Domaine Della Soberanes Vineyard Pinot Noir is bright and alive, with a lasting finish. This wine offers aromas and flavors of chalkiness and ripe berries. Pair it with crispy skin, Cantonese chicken."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",93,Wine Enthusiast,,,"Deep and dark black cherry, caramel candy and gingerbread aromas make for a lush and intense nose on this single-vineyard expression, but it manages to also stay bright and zesty. The palate offers a similar range of flavors, from black-cherry compote to ginger snap cookies, proving quite satisfying. — Matt Kettmann"
2021,"""Soberanes Vineyard"" SLH Pinot Noir",92,James Suckling,,,"Aromas of dark cherries, currants, nutmeg and some herbs. Medium body with velvety tannins and a creamy core of berries and cherries. Mild spices with creamy fruit towards the juicy finish. Drink or hold."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",89,Wine Spectator,,,"Displaying succulent strawberry and mulberry fruit that's bright and charming in feel, this version is gilded with a touch of red licorice on the sleek finish. Drink now through 2026. Tasted twice, with consistent notes. 200 cases made.  –JM"
2021,"""4 Amours"" Special Blend SC Pinot Noir",97,The New Wine Review,,,"This is a tour de force of a wine, brooding and burly in the best ways. Rose petal, green tea, cranberry and blueberry all make appearances, layered atop a plush of giving tannin. Complex and slate-y in texture, it finishes in cardamom and clove."
2021,"""4 Amours"" Special Blend SC Pinot Noir",96,Wilfred Wong,,,"The 2021 Domaine Della 4 Amours Pinot Noir is an out-of-this-world wine. This wine shows aromas and flavors of freshly tilled dirt, black fruits, licorice, and oak. Pair it with BBQ baby back ribs."
2021,"""4 Amours"" Special Blend SC Pinot Noir",94,Wine Enthusiast,,,"This pretty, polished and elegant wine offers almost-sweet red cherries, strawberries and cinnamon in the nose and ripe but delicate fruits on the palate. Smooth tannins and gentle acidity give it a silky mouthfeel and boost a lingering finish. — Jim Gordon"
2021,"""4 Amours"" Special Blend SC Pinot Noir",92,James Suckling,,,"Juicy, fruity and velvety with aromas of cherries, strawberries, herbs, chocolate wafers and baking spices. Medium body with velvety tannins. Rich and creamy with an abundance of cherries and strawberries to the finish. Drink now.																"
2020,Sonoma Coast Chardonnay,92,James Suckling,,,"Attractive nose of toasted bread, burnt lemons, baked apples and buttered popcorn. It's full-bodied with a buttery, weighty palate. Toasty and tasty finish. Drink now."
2020,Sonoma Coast Chardonnay,90,Wine Enthusiast,,,"Earthy and herbal, this coastal appellation wine is rich and thick in crème brûlée and tropical fruit, densely concentrated and lingering in toasted oak and baking spice. - Virginie Boone"
2020,Sonoma Coast Chardonnay,89,Wine Spectator,,,"Firm and restrained, with Honeycrisp apple, pear, pineapple and citrus zest notes on a juicy, sleek frame, showing hints of white flowers. Drink now. 150 cases made.  –MW"
2020,"""Ritchie Vineyard"" RRV Chardonnay",95,Wine Enthusiast,,,"An outstanding white from a warm vintage, this shows rich layers of custard and lemon soufflé. Tangy tangerine and wet stone undertones give it lift and freshness as the richness returns for a full-throttled, creamy and cohesive finish. Virginie Boone"
2020,"""Ritchie Vineyard"" RRV Chardonnay",94,James Suckling,,,"A long, delicious chardonnay with aromas of yellow flowers, toasted hazelnuts, peaches, French toast and nutmeg. It's full-bodied and creamy, yet remains agile and elegant. Fresh lemon-cream notes linger. Drink now."
